"concern_id","concern","meaning","spring_cache","jcache_ehcache","caffeine_guava","hibernate_2lc","hazelcast_ignite","dotnet_imemorycache_idistributedcache","dotnet_hybridcache","fusioncache","rails_activesupport_cache","symfony_cache","laravel_cache","py_functools_cachetools","py_dogpile_cache","py_diskcache","py_joblib_memory","py_django_cache","py_django_cachalot_cacheops","py_flask_caching","py_aiocache","py_cashews","py_fastapi_cache2","go_ristretto_groupcache","node_lrucache_cachemanager","nextjs_apollo_dataloader","varnish_nginx_fastly"
"1.1","Cache-aside","Caller checks, misses, loads, stores","Y - CacheManager API","Y - Cache API","Y - Cache","N - internal only","Y - IMap","Y","Y","Y","Y","Y","Y","P - mapping access","Y - get/set","Y","N","Y","N - automatic","P","Y","Y","P","Y","Y","Y","n/a"
"1.2","Read-through","Cache invokes a loader on miss","Y - @Cacheable","Y - CacheLoader","Y - LoadingCache","Y - automatic","Y - MapLoader","Y - GetOrCreate","Y - factory delegate","Y - factory","Y - fetch block","Y - get callback","Y - remember","Y - decorator is loader","Y - get_or_create","Y - memoize","Y - @memory.cache","Y - get_or_set","Y - transparent","Y - @cached","Y - @cached","Y - @cache","Y - @cache","Y - groupcache getter","Y - wrap/fetchMethod","Y - unstable_cache/DataLoader","Y - origin fetch"
"1.3","Write-through","Write hits cache and store synchronously","P - @CachePut","Y - CacheWriter","N","Y - on flush","Y - MapStore","N","N","P - adaptive caching","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","n/a"
"1.4","Write-behind","Write to cache, async flush to store","N","Y - Ehcache writer","N","N","Y - write-behind","N","N","P - background L2 write","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","n/a"
"1.5","Refresh-ahead","Proactive reload before expiry","N","P - provider","Y - refreshAfterWrite","N","P","N","N","Y - eager refresh","N","P - early expiration","N","N","Y - async_creation_runner","N","N","N","N","N","N","Y - @cache.early","N","P","Y - allowStaleOnFetchRejection","Y - ISR revalidate","Y - background update"
"2.1","Declarative API","Decorator/annotation-based caching","Y - annotations","Y - JSR-107 annotations","N - API only","n/a","N","N","N","N","N","N","N","Y - @lru_cache/@cached","Y - @cache_on_arguments","Y - @memoize","Y - @memory.cache","P - cache_page only","Y - cacheops @cached","Y - @cached/@memoize","Y - @cached","Y - rich decorator set","Y - @cache","N","N","Y - unstable_cache/@cacheControl","n/a"
"2.2","Programmatic API","get_or_set / fetch / GetOrCreate","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","P - mapping access","Y","Y","P - call_and_shelve","Y","N","Y","Y","Y","P","Y","Y","Y","n/a"
"2.3","Inverse handle","Per-key invalidation of a decorated function from elsewhere","N - use @CacheEvict","N - use @CacheRemove","P - rebuild key manually","Y - evict(entity,id)","Y - remove","P - known key only","Y - RemoveByTagAsync","Y - by tag","P - known key only","Y - invalidateTags","Y - tags()->flush()","N - only cache_clear()","Y - fn.invalidate(*args)","Y - fn.__cache_key__ + delete","Y - fn.clear() whole function","N","Y - cacheops fn.invalidate(*args)","Y - delete_memoized(f,*args)","P - rebuild key","Y - cache.invalidate(fn) / @cache.invalidate","Y - clear(namespace,key)","P - known key only","P - known key only","Y - revalidateTag()","Y - surrogate key purge"
"3.1","Auto key from arguments","Default key generator","Y - SimpleKeyGenerator","Y - default generator","N - caller-built","Y - primary key","N - caller-built","N - caller-built","N - caller-built","N - caller-built","Y - cache_key protocol","N - caller-built","N - caller-built","Y - arg tuple / hashkey","Y - function_key_generator","Y - args + kwargs","Y - args hash + function source hash","N - caller-built","Y - from queryset SQL","Y - from args","Y - default key_builder","Y - from signature","Y - request-based builder","N - caller-built","N - caller-built","Y - DataLoader key","Y - URL + Vary"
"3.2","Explicit key / custom generator","Key expression, template, or pluggable generator","Y - SpEL / KeyGenerator","Y - @CacheKey / custom","n/a","N","n/a","Y - any object key","Y - string key","Y","Y - cache_key/cache_version","Y","Y","Y - custom key= callable","Y - key_mangler / generator","Y - name=","P","Y - KEY_FUNCTION","P","Y - key_prefix / make_name","Y - key_builder","Y - key templates user:{id}","Y - key_builder","N","N","Y - cacheKeyFn","Y - VCL hash / cache_key"
"3.3","Parameter exclusion","Ignore self, session, connection in the key","Y - via SpEL","Y - @CacheValue excluded","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","P - via custom key=","P - via key generator","P - via name=","Y - ignore=[...]","n/a","n/a","P","Y - in key_builder","Y - template selects params","Y - key_builder","n/a","n/a","P","P - VCL normalisation"
"3.4","Cross-process key stability","Key survives process and deploy boundaries","P - backend dependent","P - backend dependent","n/a - in-process","Y - PK based","P","P","P","P","Y - cache_key protocol","P","P","N - design duty","P - key generator","P","P - rehashes on source change","P - VERSION setting","P","P","P","P","P","N - design duty","N - design duty","P - build id","P - URL based"
